Company Name,Category,Country,City,Founding Year,Team Size,Revenue Model,Profitability Status
Limited,FinTech,United States,"San Francisco, CA",2025,12,Stablecoin banking,Burning
Sotira,Logistics,United States,"San Francisco, CA",2025,23,B2B SaaS,Burning
Future AGI,AI,United States,"San Francisco, CA",2025,4,Model training,Burning
Elio,Sustainability,United States,"Dover, DE",2025,8,Climate Collab SaaS,Burning
Pinkfish,Enterprise AI,United States,"San Francisco, CA",2025,23,Workflow Automation,Burning
Vertical Compute,AI Hardware,Belgium,Louvain-la-Neuve,2025,11,Chip Licensing,Burning
Fleetbrains,Automotive AI,Estonia,Tallinn,2025,3,Fleet SaaS,Burning
Wonder,Creative AI,United Kingdom,London,2025,15,Studio-as-a-Service,Burning
Merx,Conversational AI,United Kingdom,London,2025,5,Messaging SaaS,Burning
CapRelease,Embedded Finance,United Kingdom,London,2025,230,Inventory-backed Lending,Burning
Taxflow,Accounting AI,United States,"San Francisco, CA",2025,15,Tax Automation,Burning
Qumis,InsurTech,United States,"Chicago, IL",2025,20,Knowledge SaaS,Burning
ReFiBuy.ai,E-commerce AI,United States,"Raleigh, NC",2025,15,SaaS + API,Burning
Incept AI,Voice AI,United States,"New York, NY",2025,12,Voice Platform,Burning
BitDCA (Littlebit),Crypto Investment,Czech Republic,Prague,2025,345,Micro-savings App,Burning
Human,Blockchain Identity,Germany,Berlin,2025,17,Decentralized Identity,Burning
Glue,Hardware QA,Netherlands,Amsterdam,2025,45,QA Software,Burning
Whetstone Research,Web3 Infra,France,Paris,2025,32,Protocol Licensing,Burning
Gaia Dynamics,Trade Compliance,Spain,Barcelona,2025,12,Trade SaaS,Burning
EcoSphere Tech,Climate Tech,Sweden,Stockholm,2025,15,B2B Climate SaaS,Burning
Boardy AI,Networking AI,United States,San Francisco,2024,5,Free networking service,Burning
Cluely,Productivity AI,United States,San Francisco,2024,8,Subscription,Burning
ingarden,FoodTech,Germany,Berlin,2021,15,Hardware + Subscription,Burning
Nutrix,HealthTech,Switzerland,Basel,2019,23,B2B SaaS,Burning
PHNX Materials,ClimateTech,United States,San Francisco,2024,15,B2B sales,Burning
Portia AI,Enterprise AI,United Kingdom,London,2024,12,B2B SaaS,Burning
Slate Auto,EV,United States,Detroit,2022,45,Hardware,Burning
Stacks,Fintech AI,Netherlands,Amsterdam,2024,7,B2B SaaS,Burning
Telli,Voice AI,Germany,Berlin,2023,4,Usage-Based,Burning
Worth,Fintech,United States,Orlando,2024,25,SaaS,Burning
